college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
3918,"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,134.5,118.0,124.5,111.0,85.0,,,0,0,0,1,1,0,0
3918,"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,104.5,87.5,94.5,95.5,,,,0,1,1,1,0,0,0
3918,"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,88.5,,,,,,,1,0,0,0,0,0,0
3918,"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,86.0,,,81.5,,,,0,0,0,1,0,0,0
3918,"Shanmuganathan Engineering College, Arasampatti, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,SC,Computer Science and Engineering (Cyber Security),115.0,98.0,,98.0,86.5,,,0,1,0,1,1,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,118.5,80.0,85.0,104.0,82.0,,,0,1,0,1,1,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),94.5,,,,,,,1,0,0,0,0,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,100.0,,,,,,,1,0,0,0,0,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,123.0,82.5,,98.5,80.5,,,0,1,0,1,1,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,118.0,,,,,,,1,0,0,0,0,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,84.0,,,,,,,1,0,0,0,0,0,0
3920,"Sudharsan Engineering College, Sathiyamangalam, Kulathur Taluk, Pudukkottai District-622501.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,85.0,,,,,,,1,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AG,AGRICULTURAL ENGINEERING,96.5,,,,,,,1,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,99.5,,,,,,,1,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3923,"MNSK College of Engineering, Dhakshinapuram Village, Vallathirakottai (Post), Alangudi Taluk, Pudukkottai-622305.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,123.5,88.0,90.5,110.0,101.5,,,0,1,0,1,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,125.5,,,,,,,1,0,0,0,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,122.0,80.5,,89.5,87.0,,,0,1,0,0,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,85.0,,,,,,,1,0,0,0,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,85.5,,,,,,,1,0,0,0,0,0,0
3926,"Chendhuran College of Engineering and Technology, Madurai Main Road, Lena Vilakku, Pilivalam Post, Thirumayam Taluk, Pudukkottai District-622507.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,82.0,,,,,,,1,0,0,0,0,0,0
4669,"Thamirabharani Engineering College, Ward - 1, Thatchanallur, Chattiram Puthukullam Village, Vepakullam - Chidhabra Nagar Road, Tirunelveli-627358.",TIRUNELVELI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,82.0,,,,,,,0,0,0,0,0,0,0
